,created_at_KST,masked_id,full_url,masked_text,media_media_url_https,urls_expanded_url,is_retweeted_by
1756,2024-12-21 22:38:38+09:00,다람쥐동무,https://twitter.com/tokkicomrade/status/1870463892490703313,여기도 팔레스타인에 자유를 발언 나왔다,False,False,
1755,2024-12-21 22:40:30+09:00,***********,https://twitter.com/tokkicomrade/status/1870464365625004189,전봉준투쟁단 분들이 사람들 둘러보면서 너무 좋아하심 ㅠㅠ 어떤 분은 동행 손 잡고 우리 12시부터 외롭게 투쟁하고있었다고 고맙다고 하심 ㅠㅠㅜ남태령역으로 많이 와주세요,False,False,다람쥐동무
346,2024-12-21 22:40:42+09:00,******,https://twitter.com/symposion_/status/1870464413377200423,"내가 화장실에서 들었다구요…
퇴근한다고 ㅋㅋㅋ",False,False,향연
964,2024-12-21 22:41:42+09:00,천고마비,https://twitter.com/mabi_relru/status/1870464666541109699,진짜루요... 아마 지금처럼 안 모였으면 경찰놈들 진짜 뭔짓했을지 모르겠고요ㅋㅋ 아까 지들 옆에 나란히 서서 지나가는 사람 중 만만한 데만 시비걸던 한남 1도 안 막더라고요 갑자기 튀어나와서 들이대는데,False,False,
1244,2024-12-21 22:41:58+09:00,*********,https://twitter.com/cai_hua__/status/1870464732341346736,남태령 양방향 도로통제로 많은 시민이 불편을 겪고 있으면 문을 열면 되는거 아닙니까? 저희 집회참가 아니고 문 막혀서 구경하는 건데요 저희도 시민입니다 문 여세요 https://t.co/heSyaLSKP9,['https://pbs.twimg.com/ext_tw_video_thumb/1870433341796990976/pu/img/w90Q5vqS83fVQT27.jpg'],False,뀨왕
1243,2024-12-21 22:42:06+09:00,********,https://twitter.com/cai_hua__/status/1870464765992354245,"2024 우금치 남태령에서 
임을 위한 행진 https://t.co/DiYs9fdVDw",['https://pbs.twimg.com/ext_tw_video_thumb/1870449693957967872/pu/img/Jp4wzhHymK3K6Zjh.jpg'],False,뀨왕
1218,2024-12-21 22:42:08+09:00,***********,https://twitter.com/eddiethepuff/status/1870464775840542747,"남태령역에 사람들 많아요👍 걱정 마세요
남태령역 길을 열어라 남태령역 도로 열어라 https://t.co/p2CtHKcLU3",['https://pbs.twimg.com/ext_tw_video_thumb/1870450825350512640/pu/img/KDvlMVqnUBYLa7PR.jpg'],False,포롱포롱
479,2024-12-21 22:42:21+09:00,********,https://twitter.com/Ryam_nb/status/1870464830085464412,"화귀 깃발봤어-!!!!!!!🥺

행동에 있어서 이와 리를 따지지 않고, 
마음이 가는 길을 따르는 것.
세상은 그것을 협의라 부른다.
-화산귀환 526화…..🥺 https://t.co/M8vBAsd8N3","['https://pbs.twimg.com/media/GfTvOWEbcAAFYdw.jpg', 'https://pbs.twimg.com/media/GfTvOWBaEAABj59.jpg']",False,야옹뉴스
963,2024-12-21 22:42:58+09:00,천고마비,https://twitter.com/mabi_relru/status/1870464982640734652,야 트랙터 깬 경찰 새끼는 직함 뭔지 당당하게 밝히고 급여에서 까라,False,False,
345,2024-12-21 22:44:22+09:00,**************,https://twitter.com/symposion_/status/1870465337201926611,"광화문 시위 인원이 적은 게 아니라
여의도가 원래 졸라 좁고 광화문이 개 넓어요",False,False,향연
